Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac
0	3.38	3.08	3.23	3.19	3.2	0.325	1.576	-4.7	4	3.1	0.226828	-28.1	0	290	281	0.00016224	4.38078	1.72819e-05	2.29702e-05	4.68986	5.0224e-06	1.56e-05	-0.0530665	0.0614203	8.81	
250.543	3.37535	3.08432	3.23077	3.19041	3.20196	0.324924	1.57601	-4.70357	4.04434	3.09461	0.226828	-28.0752	0	289.99	280.99	0.000162202	4.4316	2.17853e-05	1.84574e-05	4.75181	5.02202e-06	1.55963e-05	-0.0560532	0.0619217	8.81112	
502.784	3.37596	3.08544	3.23113	3.19149	3.20285	0.324924	1.576	-4.69398	4.05219	3.0932	0.226828	-28.0649	0	289.991	280.991	0.000162202	4.45418	2.3221e-05	1.70217e-05	4.76364	5.02202e-06	1.55963e-05	-0.0560575	0.0621459	8.81097	
753.639	3.37532	3.08603	3.2314	3.19216	3.20338	0.324923	1.576	-4.69154	4.05443	3.09284	0.226828	-28.0622	0	289.99	280.99	0.000162202	4.46575	2.37836e-05	1.64591e-05	4.76765	5.02202e-06	1.55963e-05	-0.0559828	0.0622611	8.81113	
1004.54	3.3741	3.0864	3.23163	3.19261	3.20377	0.324923	1.576	-4.69114	4.055	3.09276	0.226828	-28.0617	0	289.987	280.987	0.000162201	4.47271	2.40749e-05	1.61677e-05	4.76927	5.02201e-06	1.55963e-05	-0.0559122	0.0623304	8.81142	
1255.11	3.37268	3.08664	3.23183	3.19294	3.20407	0.324922	1.576	-4.6913	4.05512	3.09274	0.226828	-28.0619	0	289.984	280.984	0.000162201	4.4773	2.42468e-05	1.59957e-05	4.77002	5.02201e-06	1.55963e-05	-0.0558468	0.0623762	8.81176	
1506.58	3.37126	3.08683	3.232	3.19319	3.20432	0.324921	1.576	-4.6916	4.05514	3.09274	0.226828	-28.0622	0	289.981	280.981	0.000162201	4.4806	2.43596e-05	1.58829e-05	4.77043	5.02201e-06	1.55962e-05	-0.055787	0.0624091	8.81211	
1757.37	3.36991	3.08697	3.23216	3.1934	3.20453	0.324921	1.576	-4.69189	4.05514	3.09274	0.226828	-28.0625	0	289.978	280.978	0.0001622	4.4831	2.44393e-05	1.5803e-05	4.77068	5.022e-06	1.55962e-05	-0.0557332	0.0624341	8.81243	
2007.8	3.36868	3.08709	3.2323	3.19358	3.20471	0.32492	1.57599	-4.69216	4.05515	3.09274	0.226828	-28.0627	0	289.976	280.976	0.0001622	4.48511	2.44996e-05	1.57426e-05	4.77086	5.022e-06	1.55961e-05	-0.0556852	0.0624542	8.81273	
2259.05	3.36756	3.08719	3.23242	3.19373	3.20487	0.324919	1.57599	-4.69239	4.05517	3.09274	0.226828	-28.063	0	289.973	280.973	0.000162199	4.48679	2.45478e-05	1.56943e-05	4.771	5.02199e-06	1.55961e-05	-0.0556422	0.062471	8.813	
2509.54	3.36656	3.08727	3.23253	3.19386	3.20501	0.324918	1.57599	-4.69259	4.0552	3.09275	0.226828	-28.0632	0	289.971	280.971	0.000162199	4.48822	2.45876e-05	1.56544e-05	4.77111	5.02199e-06	1.55961e-05	-0.0556041	0.0624853	8.81324	
2760.41	3.36566	3.08735	3.23263	3.19398	3.20514	0.324917	1.57598	-4.69276	4.05523	3.09277	0.226828	-28.0633	0	289.969	280.969	0.000162198	4.48947	2.46216e-05	1.56203e-05	4.7712	5.02198e-06	1.5596e-05	-0.0555702	0.0624977	8.81346	
3011.48	3.36487	3.08742	3.23272	3.19409	3.20525	0.324916	1.57598	-4.6929	4.05527	3.09279	0.226828	-28.0635	0	289.968	280.968	0.000162198	4.49056	2.46513e-05	1.55905e-05	4.77128	5.02198e-06	1.5596e-05	-0.0555401	0.0625086	8.81365	
3261.66	3.36417	3.08748	3.23279	3.19418	3.20534	0.324915	1.57598	-4.69302	4.05531	3.09281	0.226828	-28.0636	0	289.966	280.966	0.000162198	4.49151	2.46774e-05	1.55642e-05	4.77137	5.02198e-06	1.55959e-05	-0.0555135	0.0625182	8.81382	
3512.73	3.36355	3.08753	3.23286	3.19426	3.20543	0.324914	1.57597	-4.69312	4.05535	3.09284	0.226828	-28.0637	0	289.965	280.965	0.000162197	4.49236	2.4701e-05	1.55405e-05	4.77145	5.02197e-06	1.55959e-05	-0.0554899	0.0625266	8.81397	
3764.01	3.363	3.08757	3.23292	3.19433	3.20551	0.324913	1.57597	-4.6932	4.05539	3.09288	0.226828	-28.0638	0	289.964	280.964	0.000162196	4.49309	2.47223e-05	1.55191e-05	4.77153	5.02196e-06	1.55958e-05	-0.0554689	0.062534	8.8141	
4014.32	3.36251	3.08762	3.23298	3.1944	3.20557	0.324912	1.57596	-4.69327	4.05544	3.09291	0.226828	-28.0638	0	289.963	280.963	0.000162196	4.49373	2.47417e-05	1.54996e-05	4.77163	5.02196e-06	1.55958e-05	-0.0554506	0.0625404	8.81422	
4265.35	3.36209	3.08765	3.23302	3.19445	3.20563	0.324911	1.57596	-4.69332	4.05548	3.09295	0.226828	-28.0639	0	289.962	280.962	0.000162195	4.49429	2.47595e-05	1.54816e-05	4.77172	5.02195e-06	1.55957e-05	-0.0554343	0.062546	8.81432	
4516.03	3.36171	3.08768	3.23306	3.1945	3.20568	0.32491	1.57596	-4.69335	4.05553	3.09299	0.226828	-28.0639	0	289.961	280.961	0.000162195	4.49476	2.4776e-05	1.5465e-05	4.77183	5.02195e-06	1.55957e-05	-0.0554202	0.0625507	8.81441	
4766.66	3.36139	3.08771	3.2331	3.19455	3.20573	0.324909	1.57595	-4.69337	4.05558	3.09303	0.226828	-28.064	0	289.96	280.96	0.000162194	4.49515	2.47913e-05	1.54496e-05	4.77194	5.02194e-06	1.55956e-05	-0.0554078	0.0625546	8.81449	
5018.13	3.36111	3.08773	3.23313	3.19458	3.20577	0.324908	1.57595	-4.69339	4.05563	3.09308	0.226828	-28.064	0	289.96	280.96	0.000162194	4.49548	2.48054e-05	1.54353e-05	4.77207	5.02194e-06	1.55956e-05	-0.0553971	0.0625579	8.81456	
5272.17	3.36086	3.08775	3.23316	3.19461	3.2058	0.324907	1.57594	-4.69339	4.05569	3.09313	0.226828	-28.064	0	289.959	280.959	0.000162193	4.49574	2.48188e-05	1.54218e-05	4.77219	5.02193e-06	1.55955e-05	-0.0553879	0.0625605	8.81462	
5523.2	3.36066	3.08777	3.23318	3.19464	3.20582	0.324906	1.57594	-4.69338	4.05574	3.09317	0.226828	-28.064	0	289.959	280.959	0.000162193	4.49594	2.4831e-05	1.54094e-05	4.77233	5.02193e-06	1.55955e-05	-0.0553801	0.0625625	8.81467	
5773.88	3.36049	3.08779	3.2332	3.19466	3.20585	0.324904	1.57593	-4.69337	4.05579	3.09322	0.226828	-28.0639	0	289.958	280.958	0.000162192	4.49608	2.48425e-05	1.53979e-05	4.77247	5.02192e-06	1.55954e-05	-0.0553737	0.062564	8.81471	
6024.51	3.36034	3.0878	3.23322	3.19468	3.20586	0.324903	1.57593	-4.69334	4.05585	3.09328	0.226828	-28.0639	0	289.958	280.958	0.000162192	4.49617	2.48532e-05	1.5387e-05	4.77261	5.02192e-06	1.55954e-05	-0.0553684	0.0625649	8.81474	
6275.98	3.36023	3.0878	3.23323	3.19469	3.20588	0.324902	1.57592	-4.69331	4.05591	3.09333	0.226828	-28.0639	0	289.958	280.958	0.000162191	4.49621	2.48633e-05	1.53768e-05	4.77276	5.02191e-06	1.55953e-05	-0.0553643	0.0625653	8.81477	
6530.02	3.36014	3.08781	3.23324	3.1947	3.20589	0.324901	1.57592	-4.69327	4.05596	3.09338	0.226828	-28.0639	0	289.957	280.957	0.000162191	4.49621	2.4873e-05	1.5367e-05	4.77292	5.02191e-06	1.55953e-05	-0.0553611	0.0625652	8.81479	
6781.05	3.36008	3.08781	3.23325	3.19471	3.20589	0.3249	1.57591	-4.69323	4.05602	3.09344	0.226828	-28.0638	0	289.957	280.957	0.00016219	4.49616	2.4882e-05	1.53579e-05	4.77308	5.0219e-06	1.55952e-05	-0.0553589	0.0625647	8.81481	
7031.73	3.36004	3.08782	3.23325	3.19471	3.20589	0.324899	1.57591	-4.69318	4.05608	3.09349	0.226828	-28.0638	0	289.957	280.957	0.00016219	4.49607	2.48905e-05	1.53492e-05	4.77324	5.0219e-06	1.55952e-05	-0.0553575	0.0625638	8.81482	
7282.36	3.36002	3.08781	3.23325	3.19471	3.20589	0.324898	1.5759	-4.69313	4.05614	3.09354	0.226828	-28.0637	0	289.957	280.957	0.000162189	4.49594	2.48985e-05	1.5341e-05	4.77341	5.02189e-06	1.55951e-05	-0.055357	0.0625626	8.81482	
7533.83	3.36002	3.08781	3.23325	3.19471	3.20589	0.324897	1.5759	-4.69307	4.0562	3.0936	0.226828	-28.0637	0	289.957	280.957	0.000162189	4.49578	2.49062e-05	1.53332e-05	4.77358	5.02189e-06	1.55951e-05	-0.0553572	0.0625609	8.81482	
7787.86	3.36004	3.08781	3.23325	3.19471	3.20588	0.324896	1.57589	-4.693	4.05626	3.09366	0.226828	-28.0636	0	289.957	280.957	0.000162188	4.49558	2.49136e-05	1.53257e-05	4.77376	5.02188e-06	1.5595e-05	-0.0553582	0.0625589	8.81482	
8038.9	3.36007	3.0878	3.23325	3.1947	3.20587	0.324895	1.57589	-4.69294	4.05632	3.09371	0.226828	-28.0635	0	289.957	280.957	0.000162188	4.49536	2.49206e-05	1.53186e-05	4.77394	5.02188e-06	1.5595e-05	-0.0553597	0.0625567	8.81481	
8289.58	3.36012	3.0878	3.23324	3.19469	3.20586	0.324894	1.57588	-4.69287	4.05638	3.09377	0.226828	-28.0634	0	289.957	280.957	0.000162187	4.4951	2.49272e-05	1.53118e-05	4.77412	5.02187e-06	1.55949e-05	-0.0553619	0.0625541	8.8148	
8540.21	3.36018	3.08779	3.23323	3.19468	3.20585	0.324893	1.57588	-4.69279	4.05644	3.09383	0.226828	-28.0634	0	289.958	280.958	0.000162187	4.49482	2.49336e-05	1.53053e-05	4.77431	5.02187e-06	1.55949e-05	-0.0553646	0.0625513	8.81478	
8791.68	3.36026	3.08778	3.23322	3.19466	3.20583	0.324892	1.57587	-4.69271	4.0565	3.09389	0.226828	-28.0633	0	289.958	280.958	0.000162186	4.49451	2.49397e-05	1.52991e-05	4.7745	5.02186e-06	1.55948e-05	-0.0553679	0.0625482	8.81477	
9045.71	3.36035	3.08776	3.23321	3.19465	3.20581	0.324891	1.57587	-4.69263	4.05657	3.09394	0.226828	-28.0632	0	289.958	280.958	0.000162186	4.49417	2.49457e-05	1.5293e-05	4.77469	5.02186e-06	1.55948e-05	-0.0553717	0.0625448	8.81474	
9296.74	3.36045	3.08775	3.2332	3.19463	3.20579	0.32489	1.57586	-4.69255	4.05663	3.094	0.226828	-28.0631	0	289.958	280.958	0.000162185	4.49381	2.49513e-05	1.52873e-05	4.77488	5.02185e-06	1.55947e-05	-0.055376	0.0625412	8.81472	
9547.43	3.36056	3.08774	3.23319	3.19461	3.20577	0.324889	1.57586	-4.69246	4.05669	3.09406	0.226828	-28.063	0	289.958	280.958	0.000162185	4.49344	2.49567e-05	1.52818e-05	4.77508	5.02185e-06	1.55947e-05	-0.0553807	0.0625375	8.81469	
9798.06	3.36068	3.08772	3.23317	3.19459	3.20575	0.324888	1.57585	-4.69237	4.05675	3.09412	0.226828	-28.063	0	289.959	280.959	0.000162184	4.49304	2.49619e-05	1.52764e-05	4.77527	5.02184e-06	1.55946e-05	-0.0553857	0.0625335	8.81466	
